app_temp,azimuth,clouds,datetime,dewpt,dhi,dni,elev_angle,ghi,h_angle,pod,precip,pres,revision_status,rh,slp,snow,solar_rad,temp,timestamp_local,timestamp_utc,ts,uv,vis,weather/icon,weather/description,weather/code,wind_dir,wind_gust_spd,wind_spd
14.8,333.7,97,2022-01-01:00,7.4,0,0,-69.8,0,,n,0,997,final,61,1024,0,0,14.8,2022-01-01T00:00:00,2022-01-01T00:00:00,1640995200,0,10,c04n,Overcast clouds,804,126,8,3.2
14.4,15.4,58,2022-01-01:01,7,0,0,-70.9,0,,n,0,997,final,61,1024,0,0,14.4,2022-01-01T01:00:00,2022-01-01T01:00:00,1640998800,0,10,c03n,Broken clouds,803,124,7.6,3.2
14.1,48.9,23,2022-01-01:02,7.2,0,0,-64.8,0,,n,0,997,final,63,1024,0,0,14.1,2022-01-01T02:00:00,2022-01-01T02:00:00,1641002400,0,10,c02n,Scattered clouds,802,122,7.6,3.2
13.7,68.9,22,2022-01-01:03,7,0,0,-55.2,0,,n,0,996,final,64,1023,0,0,13.7,2022-01-01T03:00:00,2022-01-01T03:00:00,1641006000,0,10,c02n,Scattered clouds,802,122,7.2,3.2
13.7,82.2,15,2022-01-01:04,7,0,0,-44.3,0,,n,0,996,final,64,1023,0,0,13.7,2022-01-01T04:00:00,2022-01-01T04:00:00,1641009600,0,10,c02n,Few clouds,801,122,7.2,3.2
13.7,92.6,20,2022-01-01:05,7,0,0,-33.1,0,,n,0,996,final,64,1023,0,0,13.7,2022-01-01T05:00:00,2022-01-01T05:00:00,1641013200,0,10,c02n,Few clouds,801,120,7.2,3.2
13.3,101.9,13,2022-01-01:06,6.6,0,0,-22,0,,n,0,996,final,64,1023,0,0,13.3,2022-01-01T06:00:00,2022-01-01T06:00:00,1641016800,0,10,c02n,Few clouds,801,116,6.8,3.2
13.3,110.9,14,2022-01-01:07,6.6,0,0,-11.3,0,,n,0,996,final,64,1023,0,0,13.3,2022-01-01T07:00:00,2022-01-01T07:00:00,1641020400,0,10,c02n,Few clouds,801,114,7.6,3.2
12.6,120.4,27,2022-01-01:08,6.2,0,0,-1.2,0,,n,0,996,final,65,1023,0,0,12.6,2022-01-01T08:00:00,2022-01-01T08:00:00,1641024000,0,10,c02n,Scattered clouds,802,110,7.2,3.2
13.7,130.8,67,2022-01-01:09,7,48,428,7.9,98,,d,0,997,final,64,1024,0,75,13.7,2022-01-01T09:00:00,2022-01-01T09:00:00,1641027600,0.7,10,c03d,Broken clouds,803,108,7.2,2.8
16.3,142.4,93,2022-01-01:10,8.5,70,626,15.7,232,,d,0,997,final,60,1024,0,139,16.3,2022-01-01T10:00:00,2022-01-01T10:00:00,1641031200,0.5,10,c04d,Overcast clouds,804,106,7.6,3.2
17.9,155.7,93,2022-01-01:11,9.6,83,718,21.4,338,,d,0,998,final,56,1024,0,100,18.5,2022-01-01T11:00:00,2022-01-01T11:00:00,1641034800,0.7,10,c04d,Overcast clouds,804,122,8,3.2
19.9,170.2,89,2022-01-01:12,10.8,89,758,24.7,399,,d,0,998,final,54,1024,0,145,20.4,2022-01-01T12:00:00,2022-01-01T12:00:00,1641038400,0.8,10,c04d,Overcast clouds,804,144,8,3.2
